iter	Passed	Remaining
0	5	2733
1	11	2775
2	15	2583
3	20	2590
4	35	3552
5	40	3302
6	44	3099
7	48	2985
8	52	2869
9	57	2800
10	61	2717
11	65	2679
12	70	2628
13	74	2585
14	82	2663
15	89	2702
16	94	2698
17	99	2664
18	103	2629
19	108	2599
20	112	2554
21	117	2556
22	122	2531
23	126	2503
24	130	2475
25	135	2463
26	141	2475
27	145	2454
28	150	2437
29	154	2415
30	158	2393
31	163	2390
32	167	2369
33	172	2362
34	176	2342
35	181	2341
36	187	2341
37	192	2343
38	197	2332
39	202	2330
40	207	2318
41	210	2300
42	214	2284
43	218	2268
44	224	2266
45	228	2251
46	232	2244
47	237	2236
48	241	2226
49	245	2213
50	249	2199
51	253	2186
52	257	2171
53	261	2160
54	265	2145
55	268	2132
56	272	2117
57	276	2107
58	280	2094
59	284	2088
60	288	2075
61	292	2068
62	296	2056
63	300	2048
64	304	2036
65	308	2029
66	312	2020
67	316	2013
68	320	2002
69	324	1994
70	328	1983
71	332	1973
72	335	1964
73	339	1957
74	343	1947
75	347	1937
76	351	1930
77	355	1922
78	359	1916
79	363	1910
80	369	1909
81	373	1903
82	377	1895
83	381	1887
84	385	1879
85	388	1870
86	392	1862
87	396	1858
88	400	1849
89	404	1842
90	408	1834
91	414	1837
92	418	1832
93	423	1830
94	428	1826
95	432	1820
96	437	1817
97	440	1808
98	445	1803
99	448	1795
100	452	1789
101	456	1781
102	460	1776
103	465	1772
104	469	1767
105	474	1765
106	478	1758
107	482	1752
108	486	1744
109	490	1740
110	494	1733
111	498	1726
112	502	1720
113	506	1714
114	509	1706
115	513	1699
116	517	1693
117	521	1686
118	524	1680
119	528	1673
120	532	1667
121	536	1661
122	539	1654
123	543	1648
124	547	1642
125	551	1636
126	555	1630
127	558	1624
128	562	1617
129	566	1612
130	570	1607
131	574	1601
132	579	1599
133	583	1593
134	587	1588
135	591	1583
136	595	1578
137	601	1576
138	605	1571
139	608	1565
140	612	1560
141	616	1555
142	620	1549
143	624	1544
144	628	1538
145	632	1533
146	636	1527
147	640	1523
148	644	1517
149	648	1513
150	652	1507
151	656	1502
152	659	1496
153	663	1491
154	667	1485
155	671	1480
156	675	1474
157	678	1469
158	682	1463
159	686	1458
160	690	1453
161	693	1447
162	697	1442
163	702	1439
164	706	1433
165	710	1428
166	713	1423
167	717	1418
168	721	1412
169	725	1408
170	728	1402
171	732	1397
172	736	1391
173	740	1386
174	743	1381
175	747	1376
176	751	1370
177	755	1365
178	758	1360
179	762	1356
180	766	1350
181	771	1348
182	775	1342
183	779	1337
184	782	1332
185	786	1328
186	790	1323
187	795	1320
188	801	1318
189	806	1316
190	811	1312
191	816	1309
192	820	1304
193	825	1301
194	828	1296
195	833	1292
196	838	1289
197	842	1285
198	847	1282
199	855	1283
200	860	1280
201	865	1276
202	870	1273
203	874	1268
204	879	1265
205	882	1260
206	886	1255
207	890	1250
208	894	1245
209	898	1240
210	902	1236
211	906	1231
212	910	1226
213	914	1222
214	918	1217
215	922	1213
216	926	1208
217	930	1203
218	934	1198
219	938	1194
220	942	1189
221	946	1185
222	950	1180
223	954	1176
224	960	1174
225	964	1169
226	968	1165
227	974	1162
228	978	1157
229	983	1154
230	987	1149
231	992	1146
232	997	1142
233	1002	1139
234	1007	1135
235	1011	1131
236	1016	1127
237	1020	1123
238	1023	1118
239	1028	1114
240	1032	1109
241	1037	1105
242	1040	1100
243	1045	1097
244	1052	1095
245	1056	1090
246	1060	1086
247	1063	1081
248	1068	1076
249	1071	1071
250	1076	1067
251	1080	1062
252	1083	1058
253	1087	1053
254	1091	1048
255	1095	1043
256	1099	1039
257	1103	1034
258	1107	1030
259	1110	1025
260	1114	1020
261	1117	1015
262	1121	1010
263	1125	1005
264	1129	1001
265	1133	996
266	1136	992
267	1140	987
268	1145	983
269	1149	979
270	1153	974
271	1157	970
272	1161	965
273	1165	961
274	1169	956
275	1175	953
276	1179	949
277	1183	945
278	1188	941
279	1192	936
280	1196	932
281	1199	927
282	1203	922
283	1207	918
284	1212	914
285	1216	910
286	1222	907
287	1228	904
288	1232	900
289	1237	896
290	1246	894
291	1252	891
292	1257	888
293	1263	885
294	1268	881
295	1272	877
296	1276	872
297	1280	867
298	1283	862
299	1287	858
300	1290	853
301	1294	848
302	1298	843
303	1301	839
304	1305	834
305	1308	829
306	1312	825
307	1316	820
308	1320	815
309	1323	811
310	1327	806
311	1331	802
312	1335	797
313	1340	794
314	1344	789
315	1348	785
316	1352	780
317	1356	776
318	1360	772
319	1365	768
320	1371	764
321	1374	760
322	1378	755
323	1382	751
324	1386	746
325	1390	742
326	1393	737
327	1397	732
328	1401	728
329	1405	723
330	1409	719
331	1412	714
332	1416	710
333	1420	705
334	1424	701
335	1428	697
336	1433	693
337	1440	690
338	1444	685
339	1448	681
340	1452	677
341	1456	672
342	1460	668
343	1464	663
344	1467	659
345	1471	654
346	1474	650
347	1479	646
348	1482	641
349	1486	637
350	1490	632
351	1494	628
352	1497	623
353	1501	619
354	1505	614
355	1509	610
356	1513	606
357	1517	601
358	1520	597
359	1525	593
360	1529	588
361	1533	584
362	1537	580
363	1541	575
364	1545	571
365	1549	567
366	1553	563
367	1557	558
368	1562	554
369	1566	550
370	1570	546
371	1574	541
372	1578	537
373	1581	532
374	1585	528
375	1588	524
376	1593	519
377	1597	515
378	1601	511
379	1605	506
380	1609	502
381	1612	498
382	1617	493
383	1621	489
384	1625	485
385	1630	481
386	1634	477
387	1638	472
388	1641	468
389	1645	464
390	1649	459
391	1653	455
392	1657	451
393	1661	447
394	1665	442
395	1669	438
396	1674	434
397	1677	430
398	1682	425
399	1686	421
400	1690	417
401	1694	413
402	1698	408
403	1702	404
404	1706	400
405	1711	396
406	1715	391
407	1719	387
408	1723	383
409	1729	379
410	1733	375
411	1738	371
412	1745	367
413	1751	363
414	1761	360
415	1768	357
416	1774	353
417	1779	349
418	1784	344
419	1790	341
420	1794	336
421	1798	332
422	1803	328
423	1807	324
424	1812	319
425	1816	315
426	1820	311
427	1825	307
428	1830	302
429	1834	298
430	1839	294
431	1842	290
432	1846	285
433	1849	281
434	1853	276
435	1857	272
436	1861	268
437	1864	263
438	1868	259
439	1872	255
440	1875	250
441	1879	246
442	1883	242
443	1886	237
444	1890	233
445	1893	229
446	1897	224
447	1901	220
448	1904	216
449	1908	212
450	1913	207
451	1918	203
452	1921	199
453	1926	195
454	1930	190
455	1934	186
456	1940	182
457	1945	178
458	1950	174
459	1955	170
460	1958	165
461	1962	161
462	1966	157
463	1970	152
464	1974	148
465	1978	144
466	1983	140
467	1987	135
468	1992	131
469	1997	127
470	2002	123
471	2007	119
472	2012	114
473	2016	110
474	2020	106
475	2024	102
476	2029	97
477	2033	93
478	2038	89
479	2042	85
480	2046	80
481	2050	76
482	2055	72
483	2059	68
484	2063	63
485	2068	59
486	2072	55
487	2076	51
488	2080	46
489	2084	42
490	2089	38
491	2093	34
492	2099	29
493	2103	25
494	2108	21
495	2112	17
496	2117	12
497	2122	8
498	2126	4
499	2131	0
